ID;IDINTERVENTION;TEXT_INTERVENTIONMANUEL;IDSALARIE;Login;HEUREDEBUT;HEUREFIN;DATEDEBUT;DATEFIN;DEMIJOURDEBUT;DEMIJOURFIN;BHEURE;COMPLEMENT;TRANSFERE;CREATIONPOSTCLOTURE;IDJOURFERIE;ORIGINEINTRANET
26230;41;;637;NASN;1899-12-30 13:55:00.000;1899-12-30 17:45:00.000;2012-06-26 00:00:00.000;2012-06-26 00:00:00.000;1;0;0;0;0;0;0;1
26317;41;;637;NASN;1899-12-30 13:55:00.000;1899-12-30 17:15:00.000;2012-07-06 00:00:00.000;2012-07-06 00:00:00.000;1;0;0;0;0;0;0;1
27013;41;;583;JVD;1899-12-30 14:00:00.000;1899-12-30 17:00:00.000;2012-08-27 00:00:00.000;2012-08-27 00:00:00.000;1;0;0;0;0;0;0;1
28357;41;;583;JVD;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-12-28 00:00:00.000;2012-12-31 00:00:00.000;0;0;0;0;0;0;0;1
28418;41;;570;JEGI;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2013-01-02 00:00:00.000;2013-01-02 00:00:00.000;0;0;0;0;0;0;0;1
28654;41;;670;MPN;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-12-28 00:00:00.000;2012-12-28 00:00:00.000;0;0;0;0;0;0;0;NULL
28655;41;;670;MPN;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-12-31 00:00:00.000;2012-12-31 00:00:00.000;0;0;0;0;0;0;0;NULL
28657;41;;670;MPN;1899-12-30 13:55:00.000;1899-12-30 18:00:00.000;2012-12-18 00:00:00.000;2012-12-18 00:00:00.000;1;0;0;0;0;0;0;NULL
28658;41;;670;MPN;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-12-19 00:00:00.000;2012-12-19 00:00:00.000;0;0;0;0;0;0;0;NULL
26318;41;;637;NASN;1899-12-30 08:15:00.000;1899-12-30 12:05:00.000;2012-07-09 00:00:00.000;2012-07-09 00:00:00.000;1;0;0;0;0;0;0;1
26325;41;;646;EGL;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-20 00:00:00.000;2012-08-03 00:00:00.000;0;0;0;0;0;0;0;1
26333;41;;646;EGL;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-08-13 00:00:00.000;2012-08-17 00:00:00.000;0;0;0;0;0;0;0;1
28809;41;;574;BGN;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2013-01-02 00:00:00.000;2013-01-02 00:00:00.000;0;0;0;0;0;0;0;NULL
28405;41;ok;649;RSA;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-12-26 00:00:00.000;2012-12-27 00:00:00.000;0;0;0;0;0;0;0;1
29261;41;;667;LVA;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2013-01-02 00:00:00.000;2013-01-02 00:00:00.000;0;0;0;0;0;0;0;NULL
