numId;co2;libelle;marque;modele;;fk_proprietaire;fk_agence_utilisatrice;Modeleversioncommerciale;pf;Zone à créer;libéllé à mofifier;libéllé à mofifier;;libéllé à mofifier
Immatriculation;TVTS;Libelle;Marque;Modele;Agenceutilisatrice;Agenceproprietaire;Entiteutilisatrice;Modeleversioncommerciale;Puissance;Frais de gestion TTC ;MontantentretienTTC;LoyerTTC;CODE REFACTURATION;Montantassurance
CS190QB;;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 GRAND CON;5;10,26;58,97;335,23;TECH;46,8575
CR891CW;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE 1.5 DCI 75 G;6;11,9;50,15;305,05;JUN;46,8575
CR821CX;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE 1.5 DCI 75 G;6;11,9;50,15;305,05;JUN;46,8575
CR611CX;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO INFORMATIQUE;CPRO IMPRESSION;CPRO INFORMATIQUE;SOCIETE 1.5 DCI 75 G;6;11,9;50,15;305,05;JUN;46,8575
CS677SA;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;TCE 120 GT EDC;6;11,9;50,15;305,05;JUN;46,8575
CS472WW;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 92 ACTIVE;5;8,96;51,27;288,83;MED;46,8575
BG005PT;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;11,9;49,85;256,89;JUN;46,8575
BG063PT;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;;;171,56;JUN;46,8575
BH714BA;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;6,98;23,67;156,77;JUN;46,8575
BH014BB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;6,3;40,88;148,48;JUN;46,8575
BG842RK;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;C'PRO INFORMATIQUE;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;6,95;28,07;159,55;JUN;46,8575
BG462RK;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;C'PRO INFORMATIQUE;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;11,9;14,82;286,76;JUN;46,8575
BG806RK;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;7,67;49,87;204,01;JUN;46,8575
BL328LF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;7,45;42,27;180,69;JUN;46,8575
BL282LF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;7,55;21,12;174,78;JUN;46,8575
BM199SD;;FIAT FIORINO MY;FIAT;FIORINO MY;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.3 MJT 75 PACK;5;10,26;48,08;285,71;TECH;46,8575
BX398QR;120;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.6 HDI 92 ACTIVE;5;8,96;43;237,41;MED;46,8575
BX322EK;117;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VALENCE;C'PRO INFORMATIQUE;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;10,43;81,69;351,89;MED;46,8575
BY671RV;117;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.6 HDI 92 ACTIVE;5;5,99;53,62;206,92;MED;46,8575
BY225KT;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;DYNAMIQUE 1.5DCI 105;6;8,61;49,65;272,89;JUN;46,8575
CB705FQ;117;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.6 HDI 92 ACTIVE;5;8,96;52,49;262,52;MED;46,8575
